Date,Rank,Crypto,ROC,Price
2020-12-01,1,XRP,155.60079400943448,0.6129230260848999
2020-12-01,2,AAVE,144.21074478938348,74.86836242675781
2020-12-01,3,XLM,135.00215842589753,0.1844249963760376
2020-12-01,4,ADA,58.84701548083739,0.15598300099372864
2020-12-01,5,LTC,53.69566569004229,85.4357681274414
2021-01-01,1,DOGE,68.49437107434709,0.005685000214725733
2021-01-01,2,BTC,52.98167757591094,29374.15234375
2021-01-01,3,DOT,52.023794397638646,8.306818962097168
2021-01-01,4,LTC,42.06088111029131,126.2303466796875
2021-01-01,5,BNB,25.10993863657267,37.90501022338867
2021-02-01,1,AAVE,244.94400044719177,295.66131591796875
2021-02-01,2,DOGE,228.54454235736833,0.03487500175833702
2021-02-01,3,XLM,151.78767885444552,0.3218350112438202
2021-02-01,4,MKR,142.02715905012343,1474.6900634765625
2021-02-01,5,ADA,126.59576290773833,0.4020330011844635
2021-03-01,1,MATIC,530.1114666530314,0.25157201290130615
2021-03-01,2,BNB,468.7223007597312,254.6299285888672
2021-03-01,3,ADA,256.40380604850225,1.2923879623413086
2021-03-01,4,ATOM,131.2050440580227,18.610485076904297
2021-03-01,5,DOT,115.57596193554845,35.58492660522461
2021-04-01,1,UNI,479.3814355659922,0.0011239999439567327
2021-04-01,2,FIL,392.7900064813061,188.17861938476562
2021-04-01,3,VET,103.22735476678227,0.08904000371694565
2021-04-01,4,MATIC,57.064674404623126,0.36422199010849
2021-04-01,5,BNB,39.95045915077762,335.212890625
2021-05-01,1,DOGE,533.993187188838,0.3929870128631592
2021-05-01,2,ETC,209.5524491906841,44.6092529296875
2021-05-01,3,XRP,185.00739846569167,1.6510250568389893
2021-05-01,4,VET,129.32389079946213,0.20419000089168549
2021-05-01,5,MATIC,116.02787011685045,0.7868210077285767
2021-06-01,1,MATIC,120.87780423300312,1.8211640119552612
2021-06-01,2,ETC,50.964897607722,67.78890228271484
2021-06-01,3,ADA,30.74595156595994,1.7347530126571655
2021-08-01,1,AAVE,35.71338983155867,317.4993591308594
2021-08-01,2,LINK,21.02039547449721,22.12683868408203
2021-08-01,3,DOT,20.032833587188147,18.413965225219727
2021-08-01,4,ETH,19.153676830864242,2561.85205078125
2021-08-01,5,BTC,17.930316108842437,39974.89453125
2021-09-01,1,ADA,119.13115134635355,2.870767116546631
2021-09-01,2,ATOM,103.03172476431217,25.351999282836914
2021-09-01,3,DOT,83.9316062698346,33.13948059082031
2021-09-01,4,XRP,67.05297364452693,1.234889030456543
2021-09-01,5,VET,59.60637430495572,0.13753600418567657
2021-10-01,1,ATOM,49.24762723099872,37.837257385253906
2021-10-01,2,BTC,-1.4946373959712766,48116.94140625
2021-10-01,3,DOT,-3.532656116112276,31.96877670288086
2021-10-01,4,ETH,-13.750603535034568,3307.51611328125
2021-11-01,1,DOT,55.60078844569365,49.98225402832031
2021-11-01,2,MATIC,46.83572723331064,1.9038970470428467
2021-11-01,3,BNB,28.7685292893618,551.2559204101562
2021-11-01,4,BTC,27.8610423770284,61004.40625
2021-11-01,5,ETH,27.50638839421322,4324.626953125
2021-12-01,1,UNI,56.28415326618141,0.0002859999949578196
2021-12-01,2,MKR,21.476298932043903,2976.182373046875
2021-12-01,3,BNB,13.9165194180503,627.9715576171875
2021-12-01,4,ETH,6.066726311743831,4586.990234375
2021-12-01,5,MATIC,5.483535643188309,2.008297920227051
2022-01-01,1,ATOM,27.47262231799008,36.17046356201172
2022-01-01,2,MATIC,21.03630678107564,2.5747909545898438
2022-01-01,3,AAVE,8.564462894793955,265.4998474121094
2022-03-01,1,XRP,30.120473950902493,0.7848619818687439
2022-03-01,2,ETC,21.184842092099053,30.311500549316406
2022-03-01,3,BTC,16.976377436847546,44354.63671875
2022-03-01,4,ETH,14.174123124413729,2972.485107421875
2022-03-01,5,BNB,8.17487525881675,408.4822998046875
2022-04-01,1,AAVE,77.85648114668592,245.4336395263672
2022-04-01,2,ETC,59.61756417013737,47.15100860595703
2022-04-01,3,VET,52.682504080882865,0.08093699812889099
2022-04-01,4,ADA,24.15810507085443,1.1654249429702759
2022-04-01,5,FIL,23.362517514889092,25.516237258911133
2022-05-01,1,UNI,23.655913557870424,0.00011500000255182385
2022-06-01,1,UNI,28.448272239230477,0.00014899999951012433
2022-08-01,1,ETC,137.4721969503092,35.07881164550781
2022-08-01,2,MATIC,81.40564795973633,0.8944060206413269
2022-08-01,3,AAVE,67.54545781940979,96.8991470336914
2022-08-01,4,FIL,65.1265290686577,8.811205863952637
2022-08-01,5,ETH,53.32172048283179,1635.19580078125
2022-09-01,1,ATOM,28.06044977209874,12.734408378601074
2022-09-01,2,UNI,9.782603881691676,0.00010099999781232327
2022-09-01,3,MATIC,0.713636456395661,0.8854309916496277
2022-10-01,1,XRP,42.59260733434793,0.4751099944114685
2022-10-01,2,XLM,15.563433100831281,0.12135200202465057
2022-11-01,1,DOGE,140.47867794667434,0.1425749957561493
2022-11-01,2,ETH,23.79222859377461,1579.70458984375
2022-11-01,3,ATOM,17.30301411962991,14.105830192565918
2022-11-01,4,MKR,16.616127035129622,881.1026000976562
2022-11-01,5,AAVE,15.94893223733802,84.34383392333984
2022-12-01,1,LTC,40.61664649080474,77.51800537109375
2022-12-01,2,MATIC,3.7749024541029907,0.9083759784698486
2022-12-01,3,LINK,-0.08610887362044961,7.687326908111572
2022-12-01,4,BNB,-10.03243849862432,292.0162048339844
2022-12-01,5,DOGE,-28.750478415342062,0.10158400237560272
2023-01-01,1,LTC,-9.154188839529043,70.81565856933594
2023-02-01,1,UNI,163.00000109139367,0.0002629999944474548
2023-02-01,2,FIL,80.67863075954311,5.687550067901611
2023-02-01,3,AAVE,66.28555737871145,88.26962280273438
2023-02-01,4,ADA,56.50086285703952,0.3972429931163788
2023-02-01,5,VET,53.58049937152873,0.024814000353217125
2023-03-01,1,UNI,200.78738461305772,0.0007639999967068434
2023-03-01,2,MKR,46.16093077620669,927.9334106445312
2023-03-01,3,FIL,42.16487157082178,7.253780841827393
2023-03-01,4,VET,22.159949740383578,0.028119999915361404
2023-03-01,5,MATIC,14.808295436553799,1.2482359409332275
2023-04-01,1,XRP,36.326347044022796,0.5147410035133362
2023-04-01,2,XLM,23.22073430798386,0.10775899887084961
2023-04-01,3,BTC,21.0243672770418,28411.03515625
2023-04-01,4,ETH,10.109834573807476,1813.860595703125
2023-04-01,5,ADA,10.046087286633455,0.38538798689842224
2023-05-01,1,BNB,4.284947653901261,328.7242126464844
2023-05-01,2,ADA,0.3811784811864172,0.3868570029735565
2023-06-01,1,XRP,9.111927332102777,0.5073170065879822
2023-06-01,2,LTC,6.429008772580147,93.97233581542969
2023-07-01,1,UNI,166.35512874773016,0.0002849999873433262
2023-07-01,2,MKR,31.31135609319211,842.6096801757812
2023-07-01,3,XLM,17.926815203317005,0.10741599649190903
2023-07-01,4,ETC,17.23642945371018,20.891191482543945
2023-07-01,5,LTC,14.107201167283767,107.22920227050781
2023-08-01,1,UNI,295.0877225230469,0.0011259999591857195
2023-08-01,2,MKR,55.84254487606633,1338.3922119140625
2023-08-01,3,XRP,45.96929904230742,0.7072110176086426
2023-08-01,4,XLM,42.920389532300284,0.1533450037240982
2023-08-01,5,LINK,16.80738899177907,7.628017902374268
2023-09-01,1,MKR,-11.814180145516273,1140.6971435546875
2023-10-01,1,LINK,35.615744616631304,8.047098159790039
2023-10-01,2,AAVE,32.267918765683376,72.13108825683594
2023-10-01,3,MKR,29.837688990347466,1481.0548095703125
2023-10-01,4,ATOM,13.50781890059567,7.5643391609191895
2023-10-01,5,VET,12.611100673772224,0.017483999952673912
2023-11-01,1,LINK,55.57871269479961,11.624006271362305
2023-11-01,2,UNI,29.090909251260765,0.00021300000662449747
2023-11-01,3,BTC,28.718646072486177,35437.25390625
2023-11-01,4,AAVE,28.56775463442429,88.98301696777344
2023-11-01,5,MATIC,22.02504228291142,0.6681029796600342
2023-12-01,1,UNI,550.7041862852781,0.0013859999598935246
2023-12-01,2,LINK,28.899007224259556,14.98322868347168
2023-12-01,3,ADA,24.96040366740555,0.3842020034790039
2023-12-01,4,DOGE,21.8125773362571,0.08385699987411499
2023-12-01,5,ATOM,20.06315267092851,9.462126731872559
2024-01-01,1,FIL,62.926800625971694,7.6079630851745605
2024-01-01,2,VET,59.61766302454527,0.036570001393556595
2024-01-01,3,ADA,56.63980048975545,0.6231099963188171
2024-01-01,4,DOT,54.27176157017766,8.59892463684082
2024-01-01,5,BNB,37.11606618816488,314.4082946777344
2024-02-01,1,LINK,13.312986158563334,17.184246063232422
2024-02-01,2,ETC,10.935099281254356,24.40703582763672
2024-02-01,3,MKR,8.762690143777885,1995.052001953125
2024-02-01,4,BNB,-3.8217787433247885,300.1759033203125
2024-02-01,5,BTC,-4.186566619516141,43075.7734375
2024-03-01,1,DOGE,77.18374595907403,0.13955700397491455
2024-03-01,2,VET,73.31418430756797,0.04888499900698662
2024-03-01,3,FIL,65.76261879855352,8.222474098205566
2024-03-01,4,UNI,57.142861894503106,0.0002749999985098839
2024-03-01,5,ETH,50.49231482735288,3435.053955078125
2024-04-01,1,MKR,75.20992086426634,3749.494873046875
2024-04-01,2,DOGE,44.64434842426994,0.20556999742984772
2024-04-01,3,BNB,40.247319688561504,576.3966674804688
2024-04-01,4,BTC,12.36872420478523,69702.1484375
2024-04-01,5,AAVE,10.91175615238904,129.18978881835938
2024-06-01,1,LINK,35.44259375452652,18.41452407836914
2024-06-01,2,ETH,27.609906517713334,3813.198974609375
2024-06-01,3,AAVE,22.417206393206413,104.03025817871094
2024-06-01,4,DOGE,21.266250099825346,0.16019999980926514
2024-06-01,5,ETC,15.002187390676891,29.532154083251953
2024-07-01,1,AAVE,-5.53896481921321,98.26805877685547
2024-08-01,1,AAVE,27.73557939624256,116.7176742553711
2024-08-01,2,XRP,23.104101522266895,0.5964639782905579
2024-08-01,3,MKR,7.191836204303259,2742.944091796875
2024-08-01,4,XLM,6.241313359834444,0.09934200346469879
2024-08-01,5,UNI,5.645157410064172,0.00013099999341648072
2024-09-01,1,AAVE,9.34046812034599,120.68827056884766
2024-10-01,1,AAVE,20.203961690522053,145.07208251953125
2024-10-01,2,DOGE,12.25853141657376,0.10704299807548523
2024-10-01,3,XRP,9.040307504655075,0.5975300073623657
2024-10-01,4,BTC,6.125581545894221,60837.0078125
2024-10-01,5,UNI,6.086952120403799,0.00012199999764561653
2024-11-01,1,DOGE,51.95353797496038,0.1591850072145462
2024-11-01,2,UNI,14.7541036401736,0.00014000000373926014
2024-11-01,3,BTC,14.59554195134607,69482.46875
2024-11-01,4,LTC,11.520582126452638,70.20695495605469
2024-11-01,5,ADA,3.803726137262653,0.3570899963378906
2024-12-01,1,XLM,511.66634384659585,0.5693879723548889
2024-12-01,2,XRP,352.4016220820346,2.320223093032837
2024-12-01,3,ADA,223.51843839801728,1.1552519798278809
2024-12-01,4,DOGE,176.42239222670244,0.4400230050086975
2024-12-01,5,DOT,138.24444072183272,9.307755470275879
